,age_of_driver,Sex_of_driver,car_age,Road_surface_type,Road_surface_conditions,Light_conditions,Weather_conditions,Cause_of_accident,Accident_severity,accident history
157,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Cloudy,Moving Backward,2,1169
168,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Moving Backward,2,217
175,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,1897
178,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,2,3330
179,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,3329
185,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,64
188,Over 51,Unknown,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1464
190,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Driving carelessly,1,575
192,18-30,Male,Unknown,Other,Wet or damp,Darkness - no lighting,Windy,Driving carelessly,2,1957
202,18-30,Male,2-5yrs,Other,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,440
204,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Moving Backward,2,2458
205,31-50,Unknown,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Turnover,1,3780
207,18-30,Male,1-2yr,Asphalt roads with some distress,Dry,Daylight,Normal,No distancing,2,923
209,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,886
210,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,901
211,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving at high speed,2,2911
212,Over 51,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Overtaking,2,2910
213,18-30,Male,2-5yrs,Earth roads,Wet or damp,Darkness - lights lit,Windy,Other,2,360
214,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Changing lane to the left,2,361
215,18-30,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to pedestrian,2,3352
216,31-50,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Changing lane to the left,2,3349
218,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Moving Backward,2,3615
219,Over 51,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,1,1384
220,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,Other,1,2909
223,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No distancing,1,2908
226,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3785
227,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3784
228,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3782
230,Unknown,Female,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3781
233,18-30,Unknown,Above 10yr,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,Changing lane to the left,2,2641
234,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - no lighting,Raining,No priority to vehicle,2,2640
235,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1697
236,31-50,Unknown,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to pedestrian,2,352
238,Unknown,Female,Above 10yr,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,2,1223
244,Over 51,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving to the left,1,54
267,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to pedestrian,2,1466
268,18-30,Unknown,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,1447
277,18-30,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,245
279,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,1298
287,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1386
288,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1385
290,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Other,No distancing,2,177
304,31-50,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Moving Backward,2,1562
306,31-50,Male,Unknown,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,211
328,Unknown,Female,1-2yr,Asphalt roads,Snow,Daylight,Normal,Changing lane to the left,2,184
329,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Snow,No distancing,2,816
335,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,Driving under the influence of drugs,2,2594
336,31-50,Male,1-2yr,Asphalt roads,Wet or damp,Darkness - lights lit,Cloudy,No priority to pedestrian,2,2592
337,Over 51,Male,1-2yr,Earth roads,Snow,Darkness - lights lit,Other,Moving Backward,2,1946
338,Over 51,Male,Unknown,Asphalt roads,Snow,Darkness - lights lit,Other,Changing lane to the right,2,1945
343,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,371
347,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3607
350,31-50,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,565
353,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,674
354,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,1,349
360,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1611
362,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,1610
367,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - no lighting,Normal,Changing lane to the right,2,559
369,31-50,Unknown,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,Driving carelessly,2,2656
372,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,74
374,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,2,156
375,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1496
376,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,1,1142
377,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,1904
379,18-30,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,2,2201
380,31-50,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2200
389,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Unknown,Changing lane to the right,1,1114
391,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,1587
392,18-30,Male,Above 10yr,Earth roads,Wet or damp,Darkness - lights lit,Normal,No distancing,2,256
393,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Darkness - lights lit,Normal,No priority to vehicle,2,255
397,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,215
398,18-30,Male,Below 1yr,Asphalt roads,Wet or damp,Darkness - lights lit,Windy,Changing lane to the left,1,307
404,31-50,Unknown,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,843
405,31-50,Male,Above 10yr,Earth roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,838
407,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Cloudy,No distancing,2,1231
410,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Darkness - lights lit,Raining,No priority to vehicle,2,2268
422,18-30,Unknown,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,3719
423,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,151
424,Unknown,Female,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No priority to vehicle,2,2016
425,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,861
426,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,179
427,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,850
428,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,851
429,Unknown,Female,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2411
430,31-50,Male,Unknown,Earth roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,2,510
433,31-50,Unknown,1-2yr,Other,Dry,Daylight,Normal,Driving carelessly,2,587
434,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,588
435,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,590
439,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Other,Driving to the left,2,556
440,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,3662
441,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3659
448,Over 51,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,3860
450,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3727
451,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3721
452,Unknown,Female,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3730
456,Under 18,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,No priority to vehicle,1,61
457,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,1,341
458,Under 18,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,342
459,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,No distancing,1,343
460,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Normal,Getting off the vehicle improperly,1,344
461,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,95
462,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,96
463,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,2761
464,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,2763
465,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,1,2766
466,Over 51,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,125
467,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,1,2767
470,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,2365
471,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Overtaking,1,3043
472,31-50,Male,2-5yrs,Gravel roads,Dry,Darkness - lights lit,Normal,Driving carelessly,2,2212
473,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,88
474,18-30,Male,2-5yrs,Gravel roads,Dry,Daylight,Normal,Moving Backward,2,802
475,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Driving carelessly,2,389
476,Unknown,Female,1-2yr,Asphalt roads,Wet or damp,Daylight,Normal,Driving to the left,2,3604
477,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,3529
478,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,3527
479,18-30,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,629
481,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,312
483,Over 51,Unknown,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the left,2,173
486,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,601
488,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1159
489,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,2,123
490,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving to the left,1,112
491,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1782
492,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,1785
493,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overtaking,2,38
494,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,229
495,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,1072
496,Over 51,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,2,1076
498,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Moving Backward,2,148
499,18-30,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the left,2,680
500,Unknown,Female,Unknown,Asphalt roads,Wet or damp,Daylight,Normal,Changing lane to the right,2,681
501,Unknown,Female,1-2yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,719
503,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,116
506,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,Turnover,2,515
507,18-30,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,1,2599
509,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2286
510,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2737
511,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,2736
512,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,302
513,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,577
516,31-50,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,No priority to pedestrian,2,12
517,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,2686
518,18-30,Male,Below 1yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2688
520,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,281
521,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,2,34
522,31-50,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,275
523,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,0,1531
524,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,0,316
525,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,750
526,18-30,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,743
527,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overturning,1,2439
528,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,268
529,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,646
530,Under 18,Male,2-5yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving under the influence of drugs,2,334
531,Under 18,Male,Unknown,Asphalt roads,Dry,Darkness - lights lit,Normal,Moving Backward,2,3061
532,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,1,3712
533,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,1,1293
534,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Driving under the influence of drugs,1,1291
535,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,1,2623
536,31-50,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,No distancing,2,607
541,Under 18,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,1,3186
543,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,0,3803
546,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overspeed,2,2218
547,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,1356
548,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,3
549,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,677
550,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,1,146
551,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2689
552,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2685
553,Over 51,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,2342
554,Unknown,Female,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to vehicle,1,539
555,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,2102
556,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2095
557,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,436
558,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the left,2,435
559,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3416
560,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,704
561,Under 18,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,No distancing,2,19
562,Over 51,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Overturning,2,111
563,Over 51,Male,2-5yrs,Asphalt roads,Dry,Darkness - no lighting,Normal,No distancing,1,3027
569,Over 51,Male,1-2yr,Asphalt roads,Wet or damp,Daylight,Raining,Getting off the vehicle improperly,2,647
573,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,399
574,31-50,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Driving at high speed,2,1905
576,Under 18,Unknown,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1797
578,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1800
580,18-30,Male,Above 10yr,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,266
581,18-30,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,267
582,31-50,Male,5-10yrs,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,268
583,18-30,Male,Above 10yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving carelessly,1,654
584,18-30,Male,1-2yr,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the right,1,3122
585,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Overturning,2,344
586,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1651
587,31-50,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,6
588,Under 18,Male,Above 10yr,Asphalt roads,Dry,Daylight,Normal,No distancing,2,7
589,31-50,Unknown,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Overturning,2,191
591,31-50,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2036
592,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Driving at high speed,1,3059
593,31-50,Male,5-10yrs,Asphalt roads,Dry,Darkness - lights lit,Normal,Changing lane to the left,1,333
594,Under 18,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,227
595,Under 18,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,No distancing,2,4
596,Over 51,Male,5-10yrs,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,5
597,Unknown,Female,5-10yrs,Asphalt roads,Dry,Daylight,Normal,No priority to pedestrian,2,3
598,18-30,Male,1-2yr,Asphalt roads,Dry,Daylight,Normal,Moving Backward,2,2
599,18-30,Unknown,1-2yr,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,1
600,31-50,Male,2-5yrs,Asphalt roads,Wet or damp,Daylight,Raining,No distancing,2,580
601,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Drunk driving,2,579
602,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Changing lane to the right,2,135
603,18-30,Male,Unknown,Asphalt roads,Wet or damp,Daylight,Raining,Driving carelessly,2,134
605,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2221
606,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,2234
607,18-30,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Driving carelessly,2,272
611,18-30,Male,2-5yrs,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,705
618,31-50,Male,5-10yrs,Asphalt roads with some distress,Dry,Daylight,Normal,Moving Backward,1,2105
620,31-50,Male,Unknown,Asphalt roads,Dry,Daylight,Normal,Changing lane to the right,2,240
